nid,제목,url,부서레벨1,부서레벨2,부서레벨3,부서레벨4,부서레벨5,집행연도,집행월,예산,집행,구분,부서명,집행일시,집행장소,집행목적,대상인원,결제방법,집행금액
20978244,"2019년 8월 서울시본청 도시교통실 교통기획관 교통정책과 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/20978244,서울시본청,도시교통실,교통기획관,교통정책과,,2019,8,,,,"도시교통실 교통정책과","2019-08-30 13:00","세림(중구 을지로1길 32-3 (다동))","도시철도 관련 유관기관 업무 협의 간담회","도시교통실 직원 등 10명",카드,102000
20978244,"2019년 8월 서울시본청 도시교통실 교통기획관 교통정책과 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/20978244,서울시본청,도시교통실,교통기획관,교통정책과,,2019,8,,,,"도시교통실 교통정책과","2019-08-29 12:27","서라벌(중구 서소문로 101-1)","버스정류소 종합정비계획 수립 용역 관련 직원 격려 간담회","교통정책과 직원 등 4명",카드,30000
20978244,"2019년 8월 서울시본청 도시교통실 교통기획관 교통정책과 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/20978244,서울시본청,도시교통실,교통기획관,교통정책과,,2019,8,,,,"도시교통실 교통정책과","2019-08-28 20:28","라 칸티나(중구 을지로 19)","지하철 이용환경 개선 관련 업무추진 직원 격려 간담회","교통정책과 직원 등 20명",제로페이,462800
20978244,"2019년 8월 서울시본청 도시교통실 교통기획관 교통정책과 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/20978244,서울시본청,도시교통실,교통기획관,교통정책과,,2019,8,,,,"도시교통실 교통정책과","2019-08-28 12:53","대복(중구 세종대로14길 22)","자동차통행관리 통합플랫폼 운영 관련 유관기관 업무협의 간담회","교통정책과장 등 20명",제로페이,406000
20978244,"2019년 8월 서울시본청 도시교통실 교통기획관 교통정책과 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/20978244,서울시본청,도시교통실,교통기획관,교통정책과,,2019,8,,,,"도시교통실 교통정책과","2019-08-27 12:38","더테이블한정식(중구 세종대로 124)","교통영향평가 관련 업무추진 직원 간담회","교통정책과 직원 등 8명",카드,100000
20978244,"2019년 8월 서울시본청 도시교통실 교통기획관 교통정책과 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/20978244,서울시본청,도시교통실,교통기획관,교통정책과,,2019,8,,,,"도시교통실 교통정책과","2019-08-27 13:16","㈜바닷가작은부엌덕수궁점(중구 덕수궁길 7)","교통사업 해외홍보 관련 업무추진 직원 격려 오찬 간담회","교통정책과장 등 10명",카드,112000
20978244,"2019년 8월 서울시본청 도시교통실 교통기획관 교통정책과 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/20978244,서울시본청,도시교통실,교통기획관,교통정책과,,2019,8,,,,"도시교통실 교통정책과","2019-08-27 20:14","구이구이(중구 을지로 6)","수소버스 관련 업무추진 직원 격려 오찬 간담회","교통정책과 직원 등 6명",카드,57000
20978244,"2019년 8월 서울시본청 도시교통실 교통기획관 교통정책과 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/20978244,서울시본청,도시교통실,교통기획관,교통정책과,,2019,8,,,,"도시교통실 교통정책과","2019-08-27 20:34","우림정(중구 세종대로11길33-3)","주차장 운영 관련 유관기관 업무공유 간담회","교통정책과 직원 등 10명",카드,93000
20978244,"2019년 8월 서울시본청 도시교통실 교통기획관 교통정책과 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/20978244,서울시본청,도시교통실,교통기획관,교통정책과,,2019,8,,,,"도시교통실 교통정책과","2019-08-27 10:54","주)스타벅스커피코리아(중구 소공동)","교통영향평가 관련 업무추진 직원 간담회","교통정책과 직원 등 1명",카드,4900
20978244,"2019년 8월 서울시본청 도시교통실 교통기획관 교통정책과 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/20978244,서울시본청,도시교통실,교통기획관,교통정책과,,2019,8,,,,"도시교통실 교통정책과","2019-08-27 12:16","빌리엔젤 서소문점(중구 서소문로 113)","통합주차정보안내시스템 구축 관련 유관기관 업무협의 간담회","교통정책과 직원 등 7명",카드,44000
